branch_,radius_spec,year_quarter,new_business_count,treatment_date,treatment_quarter,post
West Loop,0.5mi,2011Q2,81,2019-01-17,2019Q1,0
West Loop,0.5mi,2011Q3,67,2019-01-17,2019Q1,0
West Loop,0.5mi,2011Q4,30,2019-01-17,2019Q1,0
West Loop,0.5mi,2012Q1,39,2019-01-17,2019Q1,0
West Loop,0.5mi,2012Q2,77,2019-01-17,2019Q1,0
West Loop,0.5mi,2012Q3,86,2019-01-17,2019Q1,0
West Loop,0.5mi,2012Q4,121,2019-01-17,2019Q1,0
West Loop,0.5mi,2013Q1,25,2019-01-17,2019Q1,0
West Loop,0.5mi,2013Q2,86,2019-01-17,2019Q1,0
West Loop,0.5mi,2013Q3,57,2019-01-17,2019Q1,0
West Loop,0.5mi,2013Q4,40,2019-01-17,2019Q1,0
West Loop,0.5mi,2014Q1,34,2019-01-17,2019Q1,0
West Loop,0.5mi,2014Q2,70,2019-01-17,2019Q1,0
West Loop,0.5mi,2014Q3,108,2019-01-17,2019Q1,0
West Loop,0.5mi,2014Q4,37,2019-01-17,2019Q1,0
West Loop,0.5mi,2015Q1,39,2019-01-17,2019Q1,0
West Loop,0.5mi,2015Q2,74,2019-01-17,2019Q1,0
West Loop,0.5mi,2015Q3,65,2019-01-17,2019Q1,0
West Loop,0.5mi,2015Q4,43,2019-01-17,2019Q1,0
West Loop,0.5mi,2016Q1,37,2019-01-17,2019Q1,0
West Loop,0.5mi,2016Q2,87,2019-01-17,2019Q1,0
West Loop,0.5mi,2016Q3,90,2019-01-17,2019Q1,0
West Loop,0.5mi,2016Q4,45,2019-01-17,2019Q1,0
West Loop,0.5mi,2017Q1,35,2019-01-17,2019Q1,0
West Loop,0.5mi,2017Q2,70,2019-01-17,2019Q1,0
West Loop,0.5mi,2017Q3,79,2019-01-17,2019Q1,0
West Loop,0.5mi,2017Q4,64,2019-01-17,2019Q1,0
West Loop,0.5mi,2018Q1,30,2019-01-17,2019Q1,0
West Loop,0.5mi,2018Q2,82,2019-01-17,2019Q1,0
West Loop,0.5mi,2018Q3,63,2019-01-17,2019Q1,0
West Loop,0.5mi,2018Q4,38,2019-01-17,2019Q1,0
West Loop,0.5mi,2019Q1,45,2019-01-17,2019Q1,1
West Loop,0.5mi,2019Q2,68,2019-01-17,2019Q1,1
West Loop,0.5mi,2019Q3,50,2019-01-17,2019Q1,1
West Loop,0.5mi,2019Q4,56,2019-01-17,2019Q1,1
West Loop,0.5mi,2020Q1,40,2019-01-17,2019Q1,1
West Loop,0.5mi,2020Q2,36,2019-01-17,2019Q1,1
West Loop,0.5mi,2020Q3,46,2019-01-17,2019Q1,1
West Loop,0.5mi,2020Q4,33,2019-01-17,2019Q1,1
West Loop,0.5mi,2021Q1,31,2019-01-17,2019Q1,1
West Loop,0.5mi,2021Q2,59,2019-01-17,2019Q1,1
West Loop,0.5mi,2021Q3,57,2019-01-17,2019Q1,1
West Loop,0.5mi,2021Q4,34,2019-01-17,2019Q1,1
West Loop,0.5mi,2022Q1,56,2019-01-17,2019Q1,1
West Loop,0.5mi,2022Q2,57,2019-01-17,2019Q1,1
West Loop,0.5mi,2022Q3,65,2019-01-17,2019Q1,1
West Loop,0.5mi,2022Q4,48,2019-01-17,2019Q1,1
West Loop,0.5mi,2023Q1,51,2019-01-17,2019Q1,1
West Loop,0.5mi,2023Q2,64,2019-01-17,2019Q1,1
West Loop,0.5mi,2023Q3,47,2019-01-17,2019Q1,1
West Loop,0.5mi,2023Q4,42,2019-01-17,2019Q1,1
West Loop,0.5mi,2024Q1,38,2019-01-17,2019Q1,1
West Loop,0.5mi,2024Q2,33,2019-01-17,2019Q1,1
West Loop,0.5mi,2024Q3,36,2019-01-17,2019Q1,1
West Loop,0.5mi,2024Q4,38,2019-01-17,2019Q1,1
West Loop,0.5mi,2025Q1,29,2019-01-17,2019Q1,1
West Loop,0.5mi,2025Q2,40,2019-01-17,2019Q1,1
West Loop,0.5mi,2025Q3,64,2019-01-17,2019Q1,1
West Loop,0.5mi,2025Q4,25,2019-01-17,2019Q1,1
